cd_cnpj,(DIVISÃO - 2digitos CNAE),nu_ordem,cd_ramo_atividade,CNAE Total.de_ramo_atividade
1000749000100,10,0,8112500,CONDOMINIOS PREDIAIS
1001237000150,10,0,4520002,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
1001237000150,10,1,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
1002083000110,10,0,4729699,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
10051464000180,10,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL
1005943000170,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10066637000720,10,0,4711301,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS"
1009319000140,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
1009694000190,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10141032000160,10,0,210107,EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS
10141032000160,10,1,220901,EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS
10141032000160,10,2,1610201,SERRARIAS COM DESDOBRAMENTO DE MADEIRA
10141032000160,10,3,4744002,COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS
10141926000150,10,0,4120400,CONSTRUCAO DE EDIFICIOS
10141926000150,10,1,4744099,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
10141926000150,10,2,4789004,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO
10143773000180,10,0,4930201,"TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL"
10143773000180,10,1,4930202,LOCACAO DE AUTOMOVEIS SEM CONDUTOR
1014455000200,10,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
10157810000100,10,0,122900,CULTIVO DE FLORES E PLANTAS ORNAMENTAIS
10157810000100,10,1,8130300,ATIVIDADES PAISAGISTICAS
10158316000240,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10158316000240,10,1,4782201,COMERCIO VAREJISTA DE CALCADOS
10158316000240,10,2,4782202,ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA
10158853000100,10,0,4330402,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
10158853000100,10,1,4330499,OBRAS DE ALVENARIA
10158853000100,10,2,6629100,"ATIVIDADES AUXILIARES DOS SEGUROS, DA PREVIDENCIA COMPLEMENTAR E DOS PLANOS DE SAUDE NAO ESPECIFICADAS ANTERIORMENTE"
10158853000100,10,3,6920601,ATIVIDADES DE CONTABILIDADE
10158853000100,10,4,6920602,"ATIVIDADES DE APOIO A EDUCACAO, EXCETO CAIXAS ESCOLARES"
10175860000110,10,0,4923002,OPERADORES TURISTICOS
10175860000110,10,1,4930202,LOCACAO DE AUTOMOVEIS SEM CONDUTOR
10175860000110,10,2,7711000,LOCACAO DE AUTOMOVEIS SEM CONDUTOR
1018806000170,10,0,9602501,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
1019805000140,10,0,4511102,"COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS"
10198311000160,10,0,1031700,COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS
10198311000160,10,1,1032501,FABRICACAO DE CONSERVAS DE PALMITO
10198311000160,10,2,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA
10198311000160,10,3,1099699,FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
10199069000140,10,0,7020400,ADMINISTRACAO DE CAIXAS ESCOLARES
10199069000140,10,1,8599604,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL
10202007000140,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
1020470000180,10,0,4617600,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO"
1020470000180,10,1,4623106,COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS
1020470000180,10,2,4711302,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS"
1020470000180,10,3,4784900,COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP
10214417000100,10,0,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
10214417000100,10,1,4755503,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO"
10214417000100,10,2,4759899,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10214417000100,10,3,4763601,COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS
10214417000100,10,4,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10217105000150,10,0,4755503,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO"
10217105000150,10,1,4763601,COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS
10217105000150,10,2,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10217105000150,10,3,4789001,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS"
10220035000190,10,0,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10220035000190,10,1,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
10226202000100,10,0,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10226380000130,10,0,8112500,CONDOMINIOS PREDIAIS
10227841000190,10,0,4753900,COMERCIO VAREJISTA DE MOVEIS
10227841000190,10,1,4759899,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
1024166000100,10,0,6911701,SERVICOS ADVOCATICIOS
10241704000100,10,0,4729699,COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
10250006000170,10,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10258842000100,10,0,4618499,OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
10260823000100,10,0,4110700,COMPRA E VENDA DE IMOVEIS PROPRIOS
10260823000100,10,1,4120400,CONSTRUCAO DE EDIFICIOS
10260823000100,10,2,4213800,"OBRAS DE URBANIZACAO  RUAS, PRACAS E CALCADAS"
10260823000100,10,3,4222701,"CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO"
10260823000100,10,4,4399101,ADMINISTRACAO DE OBRAS
10265799000100,10,0,7722500,"ALUGUEL DE FITAS DE VIDEO, DVDS E SIMILARES"
10265799000100,10,1,7729201,ALUGUEL DE APARELHOS DE JOGOS ELETRONICOS
10265949001220,10,0,4637102,COMERCIO ATACADISTA DE ACUCAR
10265949001220,10,1,4639701,COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL
10268252000150,10,0,4784900,COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP
10268454000100,10,0,5620104,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR
10271384000130,10,0,7723300,"ALUGUEL DE OBJETOS DO VESTUARIO, JOIAS E ACESSORIOS"
10272718000190,10,0,4616800,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE TEXTEIS, VESTUARIO, CALCADOS E ARTIGOS DE VIAGEM"
10272718000190,10,1,4643501,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10272718000190,10,2,4759899,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10272718000190,10,3,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
10272718000190,10,4,4782201,COMERCIO VAREJISTA DE CALCADOS
1027555000190,10,0,7490101,"SERVICOS DE TRADUCAO, INTERPRETACAO E SIMILARES"
10276705000190,10,0,8610102,ATIVIDADES DE ATENDIMENTO EM PRONTOSOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGENCIAS
10276705000190,10,1,8630501,ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES
10276705000190,10,2,8630502,ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES
10279641000180,10,0,4120400,CONSTRUCAO DE EDIFICIOS
10279641000180,10,1,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES"
10279641000180,10,2,7112000,SERVICOS DE ENGENHARIA
10279641000180,10,3,9329899,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE
10282126000150,10,0,4520001,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10282126000150,10,1,4520003,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10282126000150,10,2,4520007,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10282126000150,10,3,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
10282126000150,10,4,4753900,COMERCIO VAREJISTA DE MOVEIS
10284328000130,10,0,5812301,ATIVIDADES DE GRAVACAO DE SOM E DE EDICAO DE MUSICA
10284328000130,10,1,5920100,ATIVIDADES DE GRAVACAO DE SOM E DE EDICAO DE MUSICA
10293607000160,10,0,4637199,COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
10296330000120,10,0,4669999,"COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS"
10296330000120,10,1,4753900,COMERCIO VAREJISTA DE MOVEIS
10296330000120,10,2,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS"
10296330000120,10,3,4789004,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO
10296497000190,10,0,5611201,RESTAURANTES E SIMILARES
10296497000190,10,1,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES"
10300581000130,10,0,4110700,COMPRA E VENDA DE IMOVEIS PROPRIOS
10300581000130,10,1,6810201,ALUGUEL DE IMOVEIS PROPRIOS
10300581000130,10,2,6810202,ALUGUEL DE IMOVEIS PROPRIOS
10300581000130,10,3,6821802,CORRETAGEM NO ALUGUEL DE IMOVEIS
